url,sector,__source_file,ts_ingesta
https://www.ibercaja.es/banca-personal/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/particulares/codigo-buenas-practicas/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/particulares/hipotecas-prestamos/renting/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/particulares/seguros/seguros-coche/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/empresas/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/particulares/cuentas-tarjetas/cuentas-ahorro/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/oficinas/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/particulares/ahorro-inversion/pensumo/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/redireccion_externo.php?url=http://www.rededucacionfinanciera.es/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/redireccion_externo.php?url=https://www.fundacionibercaja.es/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/particulares/seguros/otros-seguros/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/particulares/blog/consejos-utiles/portucuenta-asi-es-la-banca-digital-de-ibercaja-para-padres-e-hijos/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/redireccion_externo.php?url=https://www.fundacioncajacirculo.es/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/nos-mueves-tu/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/redireccion_externo.php?url=https://www.facebook.com/Ibercaja/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/redireccion_externo.php?url=https://www.youtube.com/user/IbercajaTV,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/particulares/hipotecas-prestamos/hipotecas/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/redireccion_externo.php?url=https://banca.ibercaja.es,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/particulares/blog/vivienda/hipotecas-evolucion-tipos-interes/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/particulares/seguros/seguro-hogar/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/particulares/cuentas-tarjetas/cuentas/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
https://www.ibercaja.es/particulares/portalinmobiliario/,banca,legitimas_banca_limpio.csv,2025-08-20T11:40:04Z
