label,confidence,sector,dataset_split,domain,timestamp,url,route_type,source,confianza,entidad,free_hosting,score_total_v2,notas,sector_norm,inclusion,is_https,ruido,base_domain,domain_length,domain_entropy,suspicious_path_token,num_params,contains_equal,protocol,tld_group,trusted_path_token,contains_percent,free_hosting,prob_phish,pred_label
1,,Genérico / Otros,train_val,suponsoo22-ba6aa2.ingress-florina.ewp.live,,https://suponsoo22-ba6aa2.ingress-florina.ewp.live/accesooo/acceso/es/clients/login.php,,,90.0,Generico,,13.0,"generico | generico | Login | free_hosting;marca_en_path;spanish_token | score=13, signals=spanish_brand:ing;spanish_token:acceso;spanish_token:login;brand_and_spanish_tok | confianza=90 (ruido=10%)",Genérico / Otros,1.0,,10.0,ewp.live,3,1.584962500721156,1,0,0,1,otros,1,0,0,0.2035684470003014,0
1,,Genérico / Otros,train_val,supanort22-baa4c7.ingress-erytho.ewp.live,,https://supanort22-baa4c7.ingress-erytho.ewp.live/aaccesoo/acceso/es/clients/login.php,,,90.0,Generico,,13.0,"generico | generico | Login | free_hosting;marca_en_path;spanish_token | score=13, signals=spanish_brand:ing;spanish_token:acceso;spanish_token:login;brand_and_spanish_tok | confianza=90 (ruido=10%)",Genérico / Otros,1.0,,10.0,ewp.live,3,1.584962500721156,1,0,0,1,otros,1,0,0,0.2035684470003014,0
1,,Banca,train_val,servicio-cliente-st-b9fc89.ingress-baronn.ewp.live,,https://servicio-cliente-st-b9fc89.ingress-baronn.ewp.live/santapage1edite/login.php,,,90.0,Santander,,13.0,"banca | santander | Login | free_hosting;marca_en_path;spanish_token | score=13, signals=spanish_brand:ing;spanish_token:cliente;spanish_token:login;brand_and_spanish_to | confianza=90 (ruido=10%)",Banca,1.0,,10.0,ewp.live,3,1.584962500721156,1,0,0,1,otros,1,0,0,0.2035684470003014,0
1,,Logística,train_val,groupocoroeoss-bd38c7.ingress-erytho.ewp.live,,https://groupocoroeoss-bd38c7.ingress-erytho.ewp.live/login/grupo.correos/recibir_paquete.php,,,90.0,Correos,,19.0,"logistica | correos | Smishing paquete | free_hosting;marca_en_path;spanish_token | score=19, signals=spanish_brand:ing;spanish_brand:correos;spanish_token:login;spanish_token:paquet | confianza=90 (ruido=10%)",Logística,1.0,,10.0,ewp.live,3,1.584962500721156,1,0,0,1,otros,1,0,0,0.2035684470003014,0
1,,Genérico / Otros,train_val,clientes-servicio-b9f795.ingress-earth.ewp.live,,https://clientes-servicio-b9f795.ingress-earth.ewp.live/parkospx/clients/login.php,,,90.0,Generico,,14.0,"generico | generico | Login | free_hosting;marca_en_path;spanish_token | score=14, signals=spanish_brand:ing;spanish_token:cliente;spanish_token:clientes;spanish_token:log | confianza=90 (ruido=10%)",Genérico / Otros,1.0,,10.0,ewp.live,3,1.584962500721156,1,0,0,1,otros,1,0,0,0.2035684470003014,0
1,,Genérico / Otros,train_val,mi-cuenta-informacion-b58175.ingress-baronn.ewp.live,,https://mi-cuenta-informacion-b58175.ingress-baronn.ewp.live/es/access/clients/login.php,,,90.0,Generico,,14.0,"generico | generico | Login | free_hosting;marca_en_path;spanish_token | score=14, signals=spanish_brand:ing;spanish_token:login;spanish_token:cuenta;spanish_token:forma;b | confianza=90 (ruido=10%)",Genérico / Otros,1.0,,10.0,ewp.live,3,1.584962500721156,1,0,0,1,otros,1,0,0,0.2035684470003014,0
1,,Logística,train_val,correos-bcb20b.ingress-baronn.ewp.live,,https://correos-bcb20b.ingress-baronn.ewp.live/login/home/correeoos/recibir_paquete.php,,,90.0,Correos,,17.0,"logistica | correos | Smishing paquete | free_hosting;marca_en_path;spanish_token | score=17, signals=spanish_brand:ing;spanish_brand:correos;spanish_token:login;spanish_token:paquet | confianza=90 (ruido=10%)",Logística,1.0,,10.0,ewp.live,3,1.584962500721156,1,0,0,1,otros,1,0,0,0.2035684470003014,0
1,,Genérico / Otros,train_val,acceso-ba004e.ingress-baronn.ewp.live,,https://acceso-ba004e.ingress-baronn.ewp.live/acceso-es/clients/login.php,,,90.0,Generico,,13.0,"generico | generico | Login | free_hosting;marca_en_path;spanish_token | score=13, signals=spanish_brand:ing;spanish_token:acceso;spanish_token:login;brand_and_spanish_tok | confianza=90 (ruido=10%)",Genérico / Otros,1.0,,10.0,ewp.live,3,1.584962500721156,1,0,0,1,otros,1,0,0,0.2035684470003014,0
1,,Genérico / Otros,train_val,particulares-es-1-bd5e31.ingress-daribow.ewp.live,,https://particulares-es-1-bd5e31.ingress-daribow.ewp.live/particulares/clients/login.php?f2828d9d,,,90.0,Generico,,13.0,"generico | generico | Login | free_hosting;marca_en_path;spanish_token | score=13, signals=spanish_brand:ing;spanish_token:login;spanish_token:particulares;brand_and_spani | confianza=90 (ruido=10%)",Genérico / Otros,1.0,,10.0,ewp.live,3,1.584962500721156,1,1,0,1,otros,1,0,0,0.18245175211669104,0
1,,Banca,train_val,caixbk-b947df.ingress-comporellon.ewp.live,,https://caixbk-b947df.ingress-comporellon.ewp.live/accesoo/acceso/es/clients/login.php?verification,,,90.0,CaixaBank,,13.0,"banca | caixaBank | Verificación | free_hosting;marca_en_path;spanish_token | score=13, signals=spanish_brand:ing;spanish_token:acceso;spanish_token:login;brand_and_spanish_tok | confianza=90 (ruido=10%)",Banca,1.0,,10.0,ewp.live,3,1.584962500721156,1,1,0,1,otros,1,0,0,0.18245175211669104,0
1,,Genérico / Otros,train_val,supoertas22-bb468f.ingress-bonde.ewp.live,,https://supoertas22-bb468f.ingress-bonde.ewp.live/acceso/acceso/es/clients/login.php?verification,,,90.0,Generico,,13.0,"generico | generico | Verificación | free_hosting;marca_en_path;spanish_token | score=13, signals=spanish_brand:ing;spanish_token:acceso;spanish_token:login;brand_and_spanish_tok | confianza=90 (ruido=10%)",Genérico / Otros,1.0,,10.0,ewp.live,3,1.584962500721156,1,1,0,1,otros,1,0,0,0.18245175211669104,0
1,,Genérico / Otros,train_val,2333-b5e370.ingress-earth.ewp.live,,https://2333-b5e370.ingress-earth.ewp.live/acceso/es/clients/login.php?verification,,,90.0,Generico,,13.0,"generico | generico | Verificación | free_hosting;marca_en_path;spanish_token | score=13, signals=spanish_brand:ing;spanish_token:acceso;spanish_token:login;brand_and_spanish_tok | confianza=90 (ruido=10%)",Genérico / Otros,1.0,,10.0,ewp.live,3,1.584962500721156,1,1,0,1,otros,1,0,0,0.18245175211669104,0
1,,Genérico / Otros,train_val,confirmacion-cuenta-1-9cd542.ingress-comporellon.easywp.com,,https://confirmacion-cuenta-1-9cd542.ingress-comporellon.easywp.com/mi-cuenta/acceso/es/clients/login.php,,,90.0,Generico,,13.0,"generico | generico | Confirmación | free_hosting;marca_en_path;spanish_token | score=13, signals=spanish_brand:ing;spanish_token:acceso;spanish_token:login;spanish_token:confirm | confianza=90 (ruido=10%)",Genérico / Otros,1.0,,10.0,easywp.com,6,2.584962500721156,1,0,0,1,com,1,0,0,0.16921899113811792,0
